Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.007,0.002,0.000,0.000,0.003,0.003,0.005,0.003
P2_quad_10_1000,FAIL,FAIL,0.000,0.000,0.006,0.004,FAIL,0.019
P3_quad_1000_10,0.043,0.022,SKIP,SKIP,1.790,1.196,0.484,0.412
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.000
P6_quartic_2,0.001,0.002,0.002,0.002,0.011,0.007,FAIL,0.052
P7_rosenbrock_2,FAIL,0.028,0.003,0.003,0.005,0.004,0.008,0.007
P8_rosenbrock_100,0.010,0.009,SKIP,SKIP,0.019,0.020,0.009,FAIL
P9_datafit_2,0.021,0.018,0.001,0.001,0.001,0.002,0.002,0.002
P10_exponential_10,0.002,0.001,0.002,0.002,0.001,0.002,0.019,0.012
P11_exponential_1000,0.001,0.001,SKIP,SKIP,0.001,0.001,0.001,0.001
P12_genhumps_5,0.014,0.006,0.015,0.006,0.009,0.004,FAIL,0.004
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.000,0.003,0.002,FAIL,0.005
P14_rosenbrock_2_1000,FAIL,FAIL,0.001,0.001,0.003,0.004,FAIL,0.007
