Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.003,0.002,0.000,0.000,0.004,0.004,0.005,0.005
P2_quad_10_1000,FAIL,0.032,0.000,0.000,0.003,0.006,FAIL,FAIL
P3_quad_1000_10,0.094,0.238,SKIP,SKIP,3.024,2.851,1.042,1.113
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.000
P6_quartic_2,0.002,0.001,0.002,0.003,0.009,0.010,FAIL,FAIL
P7_rosenbrock_2,FAIL,FAIL,0.003,0.003,0.006,0.005,0.007,0.008
P8_rosenbrock_100,0.014,0.011,SKIP,SKIP,0.024,0.027,0.009,0.010
P9_datafit_2,0.044,0.063,0.002,0.001,0.002,0.002,0.003,0.003
P10_exponential_10,0.003,0.002,0.003,0.003,0.005,0.003,0.008,0.038
P11_exponential_1000,0.003,0.003,SKIP,SKIP,0.003,0.002,0.001,0.001
P12_genhumps_5,0.009,0.008,0.014,0.012,0.005,0.007,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.001,0.004,0.003,FAIL,0.004
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.001,0.007,0.006,FAIL,FAIL
