Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.007,0.002,0.000,0.000,0.004,0.003,0.005,0.003
P2_quad_10_1000,FAIL,FAIL,0.000,0.000,0.003,0.004,FAIL,0.013
P3_quad_1000_10,0.249,0.297,SKIP,SKIP,2.957,2.488,1.393,1.297
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000
P6_quartic_2,0.001,0.002,0.002,0.001,0.007,0.009,FAIL,0.030
P7_rosenbrock_2,FAIL,FAIL,0.004,0.003,0.006,0.005,0.009,0.005
P8_rosenbrock_100,0.007,FAIL,SKIP,SKIP,0.021,FAIL,0.010,FAIL
P9_datafit_2,0.064,0.024,0.001,0.001,0.002,0.003,0.003,0.002
P10_exponential_10,0.003,0.001,0.003,0.002,0.005,0.003,0.010,0.038
P11_exponential_1000,0.003,0.001,SKIP,SKIP,0.002,0.001,0.001,0.001
P12_genhumps_5,0.011,0.011,0.018,0.004,0.010,0.012,FAIL,0.044
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.001,0.005,0.002,FAIL,0.003
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.001,0.006,0.003,FAIL,0.006
