Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.002,0.005,0.000,0.000,0.004,0.001,0.005,0.003
P2_quad_10_1000,FAIL,FAIL,0.000,0.000,0.005,0.005,FAIL,0.012
P3_quad_1000_10,0.118,FAIL,SKIP,SKIP,2.712,2.081,0.836,0.652
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.001,0.005,0.001,0.001,0.000,0.001,0.000,0.000
P6_quartic_2,0.001,0.001,0.002,0.002,0.006,0.008,FAIL,0.044
P7_rosenbrock_2,FAIL,FAIL,0.004,0.003,0.005,0.004,0.002,0.004
P8_rosenbrock_100,0.011,0.012,SKIP,SKIP,0.023,FAIL,0.010,FAIL
P9_datafit_2,0.044,0.037,0.001,0.002,0.003,0.002,0.004,0.002
P10_exponential_10,0.003,0.001,0.003,0.002,0.005,0.003,0.031,0.023
P11_exponential_1000,0.002,0.001,SKIP,SKIP,0.001,0.001,0.001,0.001
P12_genhumps_5,0.008,0.008,0.017,0.005,0.010,0.004,FAIL,0.005
P13_rosenbrock_2_100,FAIL,FAIL,0.002,0.001,0.005,0.003,FAIL,0.003
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.001,0.010,0.006,FAIL,0.006
