Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.007,0.004,0.000,0.000,0.004,0.003,0.007,0.004
P2_quad_10_1000,FAIL,FAIL,0.000,0.000,0.009,0.005,FAIL,0.025
P3_quad_1000_10,0.392,0.136,SKIP,SKIP,3.476,2.186,0.758,0.587
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.002,0.002,0.004,0.003,FAIL,0.059
P7_rosenbrock_2,FAIL,0.020,0.003,0.003,0.005,0.004,0.006,0.005
P8_rosenbrock_100,0.009,0.011,SKIP,SKIP,0.022,0.025,0.009,FAIL
P9_datafit_2,0.025,0.044,0.001,0.001,0.003,0.002,0.003,0.002
P10_exponential_10,0.003,0.001,0.003,0.003,0.004,0.002,0.011,0.008
P11_exponential_1000,0.004,0.001,SKIP,SKIP,0.002,0.002,0.001,0.001
P12_genhumps_5,0.009,0.008,0.011,0.006,0.003,0.003,FAIL,0.008
P13_rosenbrock_2_100,FAIL,FAIL,0.002,0.002,0.006,0.004,FAIL,0.008
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.001,0.008,0.005,FAIL,0.007
