Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.003,0.004,0.002,0.000,0.003,0.002,0.003,0.002
P2_quad_10_1000,FAIL,FAIL,0.000,0.000,0.006,0.004,FAIL,0.010
P3_quad_1000_10,0.022,FAIL,SKIP,SKIP,1.085,0.738,0.280,0.161
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.001,0.001,0.004,0.004,FAIL,0.034
P7_rosenbrock_2,FAIL,FAIL,0.001,0.002,0.004,0.003,0.002,0.003
P8_rosenbrock_100,0.005,0.007,SKIP,SKIP,0.016,FAIL,0.008,FAIL
P9_datafit_2,0.015,0.028,0.001,0.001,0.002,0.001,0.003,0.001
P10_exponential_10,0.004,0.001,0.002,0.001,0.001,0.002,0.005,0.012
P11_exponential_1000,0.001,0.001,SKIP,SKIP,0.002,0.001,0.001,0.001
P12_genhumps_5,0.013,0.006,0.012,0.004,0.005,0.004,FAIL,0.002
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.001,0.003,0.002,FAIL,0.001
P14_rosenbrock_2_1000,FAIL,FAIL,0.001,0.000,0.005,0.004,FAIL,0.004
