Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.002,0.001,0.000,0.000,0.003,0.002,0.002,0.005
P2_quad_10_1000,FAIL,0.050,0.000,0.000,0.007,0.007,FAIL,FAIL
P3_quad_1000_10,0.029,0.019,SKIP,SKIP,1.714,1.685,0.520,0.466
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.002,0.002,0.006,0.007,FAIL,FAIL
P7_rosenbrock_2,FAIL,0.052,0.002,0.003,0.006,0.005,0.007,0.007
P8_rosenbrock_100,0.010,FAIL,SKIP,SKIP,0.018,0.021,0.010,0.011
P9_datafit_2,0.019,0.021,0.001,0.001,0.002,0.002,0.003,0.002
P10_exponential_10,0.001,0.002,0.002,0.002,0.003,0.003,0.005,FAIL
P11_exponential_1000,0.002,0.002,SKIP,SKIP,0.001,0.001,0.001,0.001
P12_genhumps_5,0.008,0.005,0.016,0.004,0.010,0.006,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.001,0.003,0.002,FAIL,0.001
P14_rosenbrock_2_1000,FAIL,FAIL,0.001,0.001,0.005,0.004,FAIL,0.005
