Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.006,0.004,0.000,0.000,0.004,0.003,0.003,0.004
P2_quad_10_1000,FAIL,FAIL,0.000,0.000,0.003,0.005,FAIL,0.013
P3_quad_1000_10,0.117,0.355,SKIP,SKIP,4.257,3.190,1.278,1.279
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.001,0.002,0.006,0.003,FAIL,0.051
P7_rosenbrock_2,FAIL,0.031,0.001,0.002,0.005,0.004,0.005,0.004
P8_rosenbrock_100,0.011,0.011,SKIP,SKIP,0.020,0.025,0.011,FAIL
P9_datafit_2,0.021,0.033,0.001,0.001,0.002,0.002,0.003,0.001
P10_exponential_10,0.003,0.001,0.003,0.003,0.005,0.003,0.032,0.015
P11_exponential_1000,0.002,0.001,SKIP,SKIP,0.002,0.002,0.001,0.001
P12_genhumps_5,0.016,0.007,0.020,0.006,0.007,0.005,FAIL,0.007
P13_rosenbrock_2_100,FAIL,FAIL,0.002,0.001,0.005,0.004,FAIL,0.003
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.001,0.008,0.005,FAIL,0.005
