Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,241,134,3,3,55,54,81,69
P2_quad_10_1000,FAIL,FAIL,3,3,113,107,FAIL,809
P3_quad_1000_10,285,153,SKIP,SKIP,79,88,113,111
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,5,5,5,5,7,7,7,7
P6_quartic_2,96,95,39,39,223,188,FAIL,3178
P7_rosenbrock_2,FAIL,4520,50,58,88,115,116,185
P8_rosenbrock_100,815,765,SKIP,SKIP,1124,1388,730,FAIL
P9_datafit_2,5113,4827,18,19,39,42,57,45
P10_exponential_10,80,28,55,56,55,53,421,669
P11_exponential_1000,69,28,SKIP,SKIP,23,22,23,22
P12_genhumps_5,518,293,211,147,193,120,FAIL,158
P13_rosenbrock_2_100,FAIL,FAIL,44,45,68,83,FAIL,296
P14_rosenbrock_2_1000,FAIL,FAIL,52,49,157,147,FAIL,257
