Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.003,0.002,0.000,0.000,0.004,0.003,0.005,0.004
P2_quad_10_1000,FAIL,FAIL,0.000,0.000,0.008,0.005,FAIL,0.009
P3_quad_1000_10,0.140,0.175,SKIP,SKIP,3.043,2.246,0.971,0.535
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.005,0.001,0.005,0.006,FAIL,0.036
P7_rosenbrock_2,FAIL,FAIL,0.003,0.002,0.004,0.004,0.007,0.005
P8_rosenbrock_100,0.010,FAIL,SKIP,SKIP,0.021,FAIL,0.009,FAIL
P9_datafit_2,0.027,0.038,0.001,0.001,0.002,0.002,0.003,0.002
P10_exponential_10,0.002,0.001,0.003,0.002,0.004,0.003,0.013,0.032
P11_exponential_1000,0.002,0.001,SKIP,SKIP,0.001,0.001,0.001,0.001
P12_genhumps_5,0.012,0.010,0.018,0.003,0.007,0.015,FAIL,0.045
P13_rosenbrock_2_100,FAIL,FAIL,0.002,0.001,0.004,0.004,FAIL,0.003
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.000,0.002,0.005,FAIL,0.007
