Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,241,122,3,3,55,61,81,96
P2_quad_10_1000,FAIL,FAIL,3,3,113,136,FAIL,774
P3_quad_1000_10,285,338,SKIP,SKIP,79,192,113,169
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,5,5,5,5,7,7,7,7
P6_quartic_2,96,90,39,26,223,303,FAIL,1876
P7_rosenbrock_2,FAIL,FAIL,50,62,88,123,116,148
P8_rosenbrock_100,815,FAIL,SKIP,SKIP,1124,FAIL,730,FAIL
P9_datafit_2,5113,3016,18,19,39,46,57,50
P10_exponential_10,73,28,55,54,55,63,421,2560
P11_exponential_1000,47,28,SKIP,SKIP,24,23,24,23
P12_genhumps_5,518,457,211,109,193,373,FAIL,2763
P13_rosenbrock_2_100,FAIL,FAIL,44,45,68,89,FAIL,110
P14_rosenbrock_2_1000,FAIL,FAIL,52,47,157,168,FAIL,567
