Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.002,0.002,0.000,0.000,0.002,0.003,0.004,0.002
P2_quad_10_1000,FAIL,0.027,0.000,0.000,0.005,0.005,FAIL,FAIL
P3_quad_1000_10,0.074,0.015,SKIP,SKIP,1.166,0.994,0.378,0.444
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.001,0.001,0.004,0.004,FAIL,FAIL
P7_rosenbrock_2,FAIL,0.026,0.001,0.002,0.004,0.004,0.004,0.002
P8_rosenbrock_100,0.005,FAIL,SKIP,SKIP,0.019,0.019,0.010,0.010
P9_datafit_2,0.022,0.047,0.001,0.001,0.002,0.002,0.003,0.002
P10_exponential_10,0.002,0.001,0.002,0.002,0.003,0.002,0.006,FAIL
P11_exponential_1000,0.001,0.001,SKIP,SKIP,0.002,0.001,0.001,0.001
P12_genhumps_5,0.011,0.007,0.013,0.003,0.006,0.005,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.001,0.004,0.002,FAIL,0.003
P14_rosenbrock_2_1000,FAIL,FAIL,0.001,0.001,0.006,0.004,FAIL,0.008
