Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.002,0.003,0.000,0.000,0.003,0.001,0.001,0.002
P2_quad_10_1000,FAIL,FAIL,0.000,0.001,0.002,0.003,FAIL,0.010
P3_quad_1000_10,0.030,FAIL,SKIP,SKIP,1.768,1.218,0.430,0.277
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.002,0.001,0.005,0.004,FAIL,0.043
P7_rosenbrock_2,FAIL,FAIL,0.003,0.002,0.003,0.002,0.003,0.004
P8_rosenbrock_100,0.011,0.013,SKIP,SKIP,0.025,FAIL,0.008,FAIL
P9_datafit_2,0.025,0.034,0.001,0.001,0.002,0.001,0.003,0.002
P10_exponential_10,0.001,0.001,0.002,0.001,0.001,0.003,0.004,0.014
P11_exponential_1000,0.001,0.001,SKIP,SKIP,0.001,0.002,0.001,0.001
P12_genhumps_5,0.008,0.007,0.015,0.003,0.009,0.004,FAIL,0.003
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.001,0.004,0.003,FAIL,0.003
P14_rosenbrock_2_1000,FAIL,FAIL,0.001,0.000,0.004,0.004,FAIL,0.002
