Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.006,0.003,0.000,0.000,0.003,0.003,0.005,0.003
P2_quad_10_1000,FAIL,FAIL,0.000,0.000,0.006,0.005,FAIL,0.017
P3_quad_1000_10,0.267,0.238,SKIP,SKIP,3.160,2.396,0.834,0.499
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.002,0.001,0.004,0.004,FAIL,0.026
P7_rosenbrock_2,FAIL,FAIL,0.003,0.002,0.005,0.004,0.004,0.004
P8_rosenbrock_100,0.010,FAIL,SKIP,SKIP,0.021,FAIL,0.010,FAIL
P9_datafit_2,0.025,0.036,0.001,0.001,0.002,0.002,0.003,0.002
P10_exponential_10,0.003,0.001,0.003,0.002,0.002,0.003,0.008,0.036
P11_exponential_1000,0.002,0.001,SKIP,SKIP,0.002,0.002,0.001,0.001
P12_genhumps_5,0.016,0.009,0.017,0.004,0.011,0.007,FAIL,0.031
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.001,0.004,0.003,FAIL,0.003
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.000,0.007,0.005,FAIL,0.004
