Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,121,227,2,3,28,61,41,69
P2_quad_10_1000,FAIL,FAIL,2,3,57,116,FAIL,395
P3_quad_1000_10,143,FAIL,SKIP,SKIP,40,90,57,127
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,3,5,3,5,4,7,4,7
P6_quartic_2,11,24,20,27,78,129,FAIL,810
P7_rosenbrock_2,FAIL,FAIL,22,51,35,83,49,133
P8_rosenbrock_100,69,166,SKIP,SKIP,113,FAIL,111,FAIL
P9_datafit_2,787,2546,7,15,16,36,25,34
P10_exponential_10,32,24,16,23,27,49,203,454
P11_exponential_1000,29,24,SKIP,SKIP,11,18,11,18
P12_genhumps_5,209,246,101,109,75,94,FAIL,80
P13_rosenbrock_2_100,FAIL,FAIL,8,14,27,58,FAIL,76
P14_rosenbrock_2_1000,FAIL,FAIL,12,14,60,113,FAIL,207
