Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.020,0.010,0.000,0.000,0.002,0.002,0.006,0.009
P2_quad_10_1000,FAIL,FAIL,0.000,0.001,0.007,0.005,FAIL,0.021
P3_quad_1000_10,0.194,0.298,SKIP,SKIP,4.014,3.255,1.442,0.910
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.002,0.002,0.005,0.004,FAIL,0.046
P7_rosenbrock_2,FAIL,0.036,0.003,0.003,0.005,0.005,0.005,0.006
P8_rosenbrock_100,0.010,0.010,SKIP,SKIP,0.028,0.026,0.010,FAIL
P9_datafit_2,0.027,0.023,0.001,0.001,0.002,0.002,0.003,0.002
P10_exponential_10,0.002,0.001,0.003,0.003,0.003,0.003,0.022,0.013
P11_exponential_1000,0.002,0.001,SKIP,SKIP,0.002,0.001,0.001,0.001
P12_genhumps_5,0.016,0.007,0.007,0.006,0.012,0.005,FAIL,0.003
P13_rosenbrock_2_100,FAIL,FAIL,0.002,0.001,0.006,0.003,FAIL,0.003
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.001,0.007,0.005,FAIL,0.004
