Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.007,0.003,0.000,0.000,0.004,0.004,0.006,0.004
P2_quad_10_1000,FAIL,0.056,0.000,0.000,0.009,0.008,FAIL,FAIL
P3_quad_1000_10,0.151,0.179,SKIP,SKIP,3.021,0.188,0.840,1.317
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.002,0.003,0.008,0.011,0.010,FAIL,FAIL
P7_rosenbrock_2,FAIL,0.031,0.003,0.003,0.004,0.005,0.004,0.008
P8_rosenbrock_100,0.014,FAIL,SKIP,SKIP,0.024,0.029,0.009,0.012
P9_datafit_2,0.034,0.033,0.001,0.001,0.002,0.002,0.003,0.002
P10_exponential_10,0.001,0.001,0.003,0.003,0.002,0.003,0.009,FAIL
P11_exponential_1000,0.003,0.002,SKIP,SKIP,0.002,0.001,0.001,0.001
P12_genhumps_5,0.019,0.012,0.017,0.005,0.013,0.008,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.001,0.004,0.002,FAIL,0.004
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.001,0.008,0.005,FAIL,0.005
