Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.007,0.005,0.000,0.000,0.004,0.004,0.004,0.004
P2_quad_10_1000,FAIL,0.039,0.000,0.000,0.008,0.008,FAIL,FAIL
P3_quad_1000_10,0.093,0.173,SKIP,SKIP,2.745,2.723,0.770,-1.706
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.001,0.001,0.005,0.007,FAIL,FAIL
P7_rosenbrock_2,FAIL,FAIL,0.003,0.003,0.007,0.004,0.004,0.006
P8_rosenbrock_100,0.010,0.012,SKIP,SKIP,0.022,0.024,0.014,0.013
P9_datafit_2,0.025,0.037,0.002,0.001,0.002,0.002,0.003,0.004
P10_exponential_10,0.003,0.001,0.002,0.003,0.004,0.002,0.011,0.033
P11_exponential_1000,0.003,0.003,SKIP,SKIP,0.002,0.002,0.001,0.001
P12_genhumps_5,0.015,0.007,0.009,0.008,0.004,0.008,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.001,0.003,0.003,FAIL,0.009
P14_rosenbrock_2_1000,FAIL,FAIL,0.003,0.001,0.002,0.007,FAIL,FAIL
