Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,241,172,3,3,55,55,81,81
P2_quad_10_1000,FAIL,3114,3,3,113,113,FAIL,FAIL
P3_quad_1000_10,285,204,SKIP,SKIP,79,79,113,113
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,5,5,5,5,7,7,7,7
P6_quartic_2,96,103,39,39,223,229,FAIL,FAIL
P7_rosenbrock_2,FAIL,FAIL,50,51,88,95,116,105
P8_rosenbrock_100,815,845,SKIP,SKIP,1124,1248,730,845
P9_datafit_2,5113,5116,18,19,39,42,57,60
P10_exponential_10,69,46,55,56,55,45,421,1762
P11_exponential_1000,47,46,SKIP,SKIP,24,22,24,22
P12_genhumps_5,518,573,211,167,193,121,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,44,43,68,74,FAIL,363
P14_rosenbrock_2_1000,FAIL,FAIL,52,49,157,127,FAIL,FAIL
