Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.004,0.005,0.000,0.000,0.004,0.004,0.004,0.002
P2_quad_10_1000,FAIL,0.052,0.000,0.000,0.005,0.008,FAIL,FAIL
P3_quad_1000_10,0.517,0.166,SKIP,SKIP,3.949,3.836,1.219,1.285
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.002,0.002,0.005,0.014,FAIL,FAIL
P7_rosenbrock_2,FAIL,0.070,0.005,0.004,0.006,0.004,0.004,0.007
P8_rosenbrock_100,0.011,FAIL,SKIP,SKIP,0.020,0.024,0.010,0.017
P9_datafit_2,0.036,0.061,0.001,0.001,0.002,0.002,0.003,0.002
P10_exponential_10,0.003,0.002,0.003,0.003,0.003,0.002,0.038,FAIL
P11_exponential_1000,0.002,0.002,SKIP,SKIP,0.003,0.002,0.001,0.001
P12_genhumps_5,0.014,0.010,0.013,0.004,0.012,0.007,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.001,0.002,0.003,FAIL,0.004
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.001,0.007,0.005,FAIL,0.008
