Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,241,133,3,3,55,55,81,81
P2_quad_10_1000,FAIL,4816,3,3,113,115,FAIL,FAIL
P3_quad_1000_10,285,170,SKIP,SKIP,79,80,113,114
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,5,5,5,5,7,7,7,7
P6_quartic_2,96,103,39,39,223,229,FAIL,FAIL
P7_rosenbrock_2,FAIL,9783,50,51,88,99,116,139
P8_rosenbrock_100,815,FAIL,SKIP,SKIP,1124,1260,730,889
P9_datafit_2,5113,4895,18,19,39,42,57,49
P10_exponential_10,69,41,55,56,55,52,421,FAIL
P11_exponential_1000,47,41,SKIP,SKIP,24,23,24,23
P12_genhumps_5,518,365,211,81,193,118,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,44,43,68,69,FAIL,81
P14_rosenbrock_2_1000,FAIL,FAIL,52,49,157,122,FAIL,370
