Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,121,133,2,3,28,55,41,81
P2_quad_10_1000,FAIL,3490,2,3,57,115,FAIL,FAIL
P3_quad_1000_10,143,170,SKIP,SKIP,40,80,57,114
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,3,5,3,5,4,7,4,7
P6_quartic_2,11,21,20,39,78,157,FAIL,FAIL
P7_rosenbrock_2,FAIL,1946,22,44,35,71,49,121
P8_rosenbrock_100,69,FAIL,SKIP,SKIP,113,255,111,251
P9_datafit_2,787,1452,7,13,16,30,25,36
P10_exponential_10,29,37,16,31,27,46,203,FAIL
P11_exponential_1000,23,36,SKIP,SKIP,11,16,11,16
P12_genhumps_5,209,246,101,71,75,97,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,8,14,27,48,FAIL,66
P14_rosenbrock_2_1000,FAIL,FAIL,12,16,60,89,FAIL,342
