Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.003,0.001,0.000,0.001,0.003,0.003,0.001,0.003
P2_quad_10_1000,FAIL,FAIL,0.000,0.000,0.004,0.002,FAIL,0.012
P3_quad_1000_10,0.027,0.029,SKIP,SKIP,1.630,1.174,0.382,0.248
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.002,0.002,0.001,0.007,0.006,FAIL,0.029
P7_rosenbrock_2,FAIL,FAIL,0.003,0.002,0.005,0.005,0.007,0.005
P8_rosenbrock_100,0.013,FAIL,SKIP,SKIP,0.019,FAIL,0.009,FAIL
P9_datafit_2,0.018,0.032,0.001,0.001,0.002,0.002,0.003,0.001
P10_exponential_10,0.001,0.001,0.002,0.002,0.002,0.002,0.005,0.037
P11_exponential_1000,0.002,0.001,SKIP,SKIP,0.002,0.001,0.001,0.001
P12_genhumps_5,0.006,0.008,0.015,0.002,0.003,0.011,FAIL,0.037
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.000,0.002,0.003,FAIL,0.001
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.000,0.002,0.004,FAIL,0.005
