Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.009,0.005,0.000,0.000,0.004,0.003,0.006,0.002
P2_quad_10_1000,FAIL,0.045,0.000,0.001,0.007,0.008,FAIL,FAIL
P3_quad_1000_10,0.090,0.112,SKIP,SKIP,2.919,2.777,0.867,0.860
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.001
P6_quartic_2,0.001,0.002,0.004,0.004,0.010,0.016,FAIL,FAIL
P7_rosenbrock_2,FAIL,0.029,0.003,0.004,0.005,0.006,0.007,0.008
P8_rosenbrock_100,0.011,FAIL,SKIP,SKIP,0.020,0.025,0.010,0.013
P9_datafit_2,0.032,0.024,0.001,0.002,0.002,0.002,0.003,0.002
P10_exponential_10,0.003,0.002,0.003,0.003,0.004,0.004,0.030,FAIL
P11_exponential_1000,0.003,0.003,SKIP,SKIP,0.002,0.001,0.002,0.001
P12_genhumps_5,0.018,0.011,0.018,0.004,0.004,0.007,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,0.002,0.001,0.001,0.003,FAIL,0.004
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.001,0.005,0.005,FAIL,0.006
