Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,121,107,2,3,28,55,41,79
P2_quad_10_1000,FAIL,FAIL,2,3,57,114,FAIL,416
P3_quad_1000_10,143,198,SKIP,SKIP,40,92,57,126
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,3,5,3,5,4,7,4,7
P6_quartic_2,11,21,20,26,78,128,FAIL,643
P7_rosenbrock_2,FAIL,FAIL,22,45,35,79,49,110
P8_rosenbrock_100,69,FAIL,SKIP,SKIP,113,FAIL,111,FAIL
P9_datafit_2,787,1150,7,13,16,32,25,33
P10_exponential_10,23,23,16,27,20,51,153,934
P11_exponential_1000,23,23,SKIP,SKIP,11,16,11,16
P12_genhumps_5,209,269,101,76,75,246,FAIL,984
P13_rosenbrock_2_100,FAIL,FAIL,8,13,27,61,FAIL,84
P14_rosenbrock_2_1000,FAIL,FAIL,12,14,60,105,FAIL,203
