Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.007,0.004,0.000,0.001,0.003,0.004,0.005,0.005
P2_quad_10_1000,FAIL,0.024,0.001,0.000,0.002,0.002,FAIL,FAIL
P3_quad_1000_10,0.023,0.113,SKIP,SKIP,1.990,0.998,0.992,1.464
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.002,0.002,0.004,0.005,FAIL,FAIL
P7_rosenbrock_2,FAIL,FAIL,0.003,0.003,0.006,0.005,0.003,0.008
P8_rosenbrock_100,0.015,0.011,SKIP,SKIP,0.021,0.024,0.009,0.011
P9_datafit_2,0.023,0.031,0.001,0.001,0.002,0.001,0.003,0.003
P10_exponential_10,0.001,0.002,0.002,0.002,0.003,0.003,0.007,0.033
P11_exponential_1000,0.002,0.002,SKIP,SKIP,0.002,0.001,0.002,0.001
P12_genhumps_5,0.006,0.010,0.020,0.007,0.008,0.007,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,0.002,0.001,0.004,0.003,FAIL,0.010
P14_rosenbrock_2_1000,FAIL,FAIL,0.001,0.001,0.003,0.004,FAIL,FAIL
