Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.002,0.003,0.000,0.000,0.002,0.002,0.004,0.003
P2_quad_10_1000,FAIL,FAIL,0.000,0.000,0.005,0.004,FAIL,0.014
P3_quad_1000_10,0.020,0.011,SKIP,SKIP,0.945,0.736,0.262,0.202
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.002,0.002,0.003,0.003,FAIL,0.031
P7_rosenbrock_2,FAIL,0.019,0.002,0.001,0.003,0.003,0.005,0.001
P8_rosenbrock_100,0.008,0.008,SKIP,SKIP,0.016,0.018,0.008,FAIL
P9_datafit_2,0.024,0.047,0.001,0.001,0.001,0.001,0.002,0.001
P10_exponential_10,0.001,0.001,0.002,0.002,0.001,0.002,0.021,0.010
P11_exponential_1000,0.002,0.001,SKIP,SKIP,0.002,0.001,0.001,0.001
P12_genhumps_5,0.004,0.005,0.006,0.005,0.009,0.004,FAIL,0.005
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.000,0.003,0.002,FAIL,0.004
P14_rosenbrock_2_1000,FAIL,FAIL,0.001,0.001,0.003,0.003,FAIL,0.004
