Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.007,0.008,0.000,0.000,0.004,0.005,0.003,0.005
P2_quad_10_1000,FAIL,FAIL,0.000,0.000,0.003,0.003,FAIL,FAIL
P3_quad_1000_10,0.120,0.335,SKIP,SKIP,3.420,2.940,-1.422,1.083
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.005,0.003,0.005,0.005,FAIL,FAIL
P7_rosenbrock_2,FAIL,FAIL,0.002,0.003,0.004,0.005,0.006,0.001
P8_rosenbrock_100,0.010,0.012,SKIP,SKIP,0.023,0.023,0.009,0.012
P9_datafit_2,0.038,0.062,0.001,0.001,0.001,0.002,0.004,0.003
P10_exponential_10,0.003,0.002,0.003,0.003,0.005,0.004,0.018,0.075
P11_exponential_1000,0.003,0.002,SKIP,SKIP,0.002,0.001,0.001,0.001
P12_genhumps_5,0.018,0.007,0.014,0.010,0.011,0.007,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.001,0.003,0.004,FAIL,0.004
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.001,0.008,0.002,FAIL,0.009
