Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.003,0.003,0.000,0.000,0.004,0.002,0.006,0.003
P2_quad_10_1000,FAIL,FAIL,0.000,0.000,0.002,0.006,FAIL,0.016
P3_quad_1000_10,0.511,0.275,SKIP,SKIP,2.979,2.431,2.097,1.335
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.003,0.001,0.004,0.002,0.005,0.004,FAIL,0.049
P7_rosenbrock_2,FAIL,0.016,0.003,0.001,0.001,0.004,0.004,0.006
P8_rosenbrock_100,0.012,0.011,SKIP,SKIP,0.021,0.024,0.011,FAIL
P9_datafit_2,0.040,0.030,0.001,0.001,0.002,0.002,0.001,0.002
P10_exponential_10,0.003,0.001,0.003,0.003,0.005,0.003,0.030,0.013
P11_exponential_1000,0.002,0.001,SKIP,SKIP,0.002,0.001,0.001,0.001
P12_genhumps_5,0.005,0.007,0.018,0.006,0.011,0.005,FAIL,0.007
P13_rosenbrock_2_100,FAIL,FAIL,0.002,0.001,0.006,0.004,FAIL,0.002
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.001,0.008,0.005,FAIL,0.007
