Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.002,0.005,0.000,0.000,0.003,0.003,0.005,0.005
P2_quad_10_1000,FAIL,0.032,0.001,0.000,0.003,0.008,FAIL,FAIL
P3_quad_1000_10,0.117,0.217,SKIP,SKIP,2.902,2.383,0.398,0.597
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.002,0.001,0.004,0.006,FAIL,FAIL
P7_rosenbrock_2,FAIL,FAIL,0.003,0.004,0.002,0.006,0.007,0.006
P8_rosenbrock_100,0.011,0.010,SKIP,SKIP,0.018,0.022,0.009,0.010
P9_datafit_2,0.021,0.023,0.002,0.001,0.002,0.002,0.003,0.003
P10_exponential_10,0.002,0.002,0.002,0.002,0.003,0.003,0.006,0.025
P11_exponential_1000,0.001,0.002,SKIP,SKIP,0.001,0.001,0.001,0.001
P12_genhumps_5,0.008,0.012,0.016,0.008,0.010,0.009,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.001,0.004,0.003,FAIL,0.016
P14_rosenbrock_2_1000,FAIL,FAIL,0.001,0.001,0.006,0.005,FAIL,FAIL
