Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.007,0.009,0.000,0.000,0.003,0.004,0.005,0.006
P2_quad_10_1000,FAIL,FAIL,0.000,0.000,0.007,0.009,FAIL,FAIL
P3_quad_1000_10,0.107,0.280,SKIP,SKIP,2.984,2.743,0.769,0.916
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.002,0.005,0.011,0.010,FAIL,FAIL
P7_rosenbrock_2,FAIL,FAIL,0.003,0.003,0.002,0.003,0.005,0.004
P8_rosenbrock_100,0.012,0.017,SKIP,SKIP,0.024,0.023,0.010,0.012
P9_datafit_2,0.053,0.030,0.001,0.001,0.002,0.002,0.002,0.004
P10_exponential_10,0.003,0.002,0.003,0.003,0.004,0.005,0.017,0.052
P11_exponential_1000,0.004,0.003,SKIP,SKIP,0.002,0.002,0.002,0.001
P12_genhumps_5,0.010,0.015,0.015,0.010,0.011,0.009,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.001,0.003,0.003,FAIL,0.003
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.001,0.008,0.005,FAIL,0.003
