Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.008,0.004,0.000,0.000,0.004,0.004,0.006,0.006
P2_quad_10_1000,FAIL,0.036,0.000,0.000,0.008,0.008,FAIL,FAIL
P3_quad_1000_10,0.277,0.202,SKIP,SKIP,2.818,0.393,1.059,0.962
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.002,0.002,0.006,0.006,FAIL,FAIL
P7_rosenbrock_2,FAIL,0.029,0.003,0.003,0.003,0.001,0.006,0.008
P8_rosenbrock_100,0.013,FAIL,SKIP,SKIP,0.025,0.026,0.010,0.014
P9_datafit_2,0.046,0.030,0.002,0.001,0.002,0.002,0.002,0.001
P10_exponential_10,0.003,0.002,0.003,0.002,0.004,0.003,0.010,FAIL
P11_exponential_1000,0.004,0.002,SKIP,SKIP,0.003,0.001,0.001,0.001
P12_genhumps_5,0.017,0.010,0.016,0.004,0.004,0.004,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,0.002,0.001,0.003,0.004,FAIL,0.004
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.001,0.009,0.005,FAIL,0.017
