Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,241,303,3,3,55,79,81,94
P2_quad_10_1000,FAIL,FAIL,3,3,113,255,FAIL,879
P3_quad_1000_10,285,FAIL,SKIP,SKIP,79,197,113,276
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,5,5,5,5,7,7,7,7
P6_quartic_2,96,92,39,28,223,321,FAIL,3731
P7_rosenbrock_2,FAIL,FAIL,50,71,88,134,116,193
P8_rosenbrock_100,815,788,SKIP,SKIP,1124,FAIL,730,FAIL
P9_datafit_2,5113,6464,18,25,39,63,57,50
P10_exponential_10,69,28,55,51,55,163,421,2036
P11_exponential_1000,47,28,SKIP,SKIP,24,24,24,24
P12_genhumps_5,518,442,211,160,193,160,FAIL,121
P13_rosenbrock_2_100,FAIL,FAIL,44,47,68,94,FAIL,115
P14_rosenbrock_2_1000,FAIL,FAIL,52,47,157,183,FAIL,276
