Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,121,172,2,3,28,55,41,81
P2_quad_10_1000,FAIL,3114,2,3,57,113,FAIL,FAIL
P3_quad_1000_10,143,204,SKIP,SKIP,40,79,57,113
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,3,5,3,5,4,7,4,7
P6_quartic_2,11,21,20,39,78,157,FAIL,FAIL
P7_rosenbrock_2,FAIL,FAIL,22,44,35,65,49,89
P8_rosenbrock_100,69,135,SKIP,SKIP,113,244,111,238
P9_datafit_2,787,1474,7,13,16,31,25,49
P10_exponential_10,33,44,16,31,27,39,203,1191
P11_exponential_1000,30,44,SKIP,SKIP,11,16,11,16
P12_genhumps_5,209,382,101,116,75,101,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,8,14,27,52,FAIL,329
P14_rosenbrock_2_1000,FAIL,FAIL,12,16,60,89,FAIL,FAIL
