Problem,GradientDescent,GradientDescentW,Newton,NewtonW,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,0.002,0.002,0.000,0.000,0.003,0.003,0.002,0.003
P2_quad_10_1000,FAIL,0.056,0.000,0.000,0.006,0.006,FAIL,FAIL
P3_quad_1000_10,0.022,0.020,SKIP,SKIP,1.103,1.362,0.939,0.370
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
P6_quartic_2,0.001,0.001,0.001,0.001,0.004,0.004,FAIL,FAIL
P7_rosenbrock_2,FAIL,FAIL,0.001,0.002,0.004,0.004,0.004,0.003
P8_rosenbrock_100,0.005,0.009,SKIP,SKIP,0.019,0.016,0.007,0.009
P9_datafit_2,0.015,0.031,0.001,0.001,0.002,0.002,0.003,0.001
P10_exponential_10,0.001,0.002,0.002,0.002,0.004,0.002,0.023,0.030
P11_exponential_1000,0.001,0.002,SKIP,SKIP,0.001,0.001,0.001,0.001
P12_genhumps_5,0.004,0.012,0.007,0.004,0.003,0.006,FAIL,FAIL
P13_rosenbrock_2_100,FAIL,FAIL,0.001,0.000,0.002,0.002,FAIL,0.004
P14_rosenbrock_2_1000,FAIL,FAIL,0.002,0.001,0.003,0.004,FAIL,FAIL
